Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Bern;3007;0;Bern;BE;599720;198658
Bern;3014;0;Bern;BE;601505;201236
Bern;3005;0;Bern;BE;600860;198700
Bern;3027;0;Bern;BE;596089;200526
Bern;3004;0;Bern;BE;601018;203269
Bern;3020;0;Bern;BE;591033;198450
Bern;3013;0;Bern;BE;600576;200570
Bern;3011;0;Bern;BE;600710;199573
Berneck;9442;0;Berneck;SG;763723;254986
Bernex;1233;0;Bernex;GE;494035;114694
Bernhardzell;9304;0;Waldkirch;SG;743617;259241
Berolle;1149;0;Berolle;VD;514999;157992
Beromünster;6215;0;Beromünster;LU;657875;229107
Berschis;8892;0;Walenstadt;SG;746541;219670
Bertschikon;8543;0;Bertschikon;ZH;704748;264835
Bertschikon (Gossau ZH);8614;0;Gossau (ZH);ZH;699768;241973
Berzona;6661;3;Isorno;TI;694031;118329
Besazio;6863;0;Besazio;TI;717661;81057
Besenbüren;5627;0;Besenbüren;AG;668503;240518
Besencens;1609;2;Saint-Martin (FR);FR;556264;159799
Betschwanden;8777;2;Glarus Süd;GL;723064;198950
Betten;3991;0;Betten;VS;648270;136340
Bettenhausen;3366;0;Bettenhausen;BE;620542;224820
Bettens;1042;4;Bettens;VD;533780;163946
Bettingen;4126;0;Bettingen;BS;617810;268997
Bettlach;2544;0;Bettlach;SO;598558;228686
Bettmeralp;3992;0;Betten;VS;649140;141958
Bettwiesen;9553;0;Bettwiesen;TG;719481;262006
Bettwil;5618;0;Bettwil;AG;662947;238319
Beurnevésin;2935;0;Beurnevésin;JU;577203;260131
Beuson (Nendaz);1996;6;Nendaz;VS;591272;114349
Bevaix;2022;0;Bevaix;NE;552175;198156
Bever;7502;0;Bever;GR;775987;155883
Bever;7502;0;Bever;GR;786131;158696
Bex;1880;0;Bex;VD;567231;121781
Biasca;6710;0;Biasca;TI;719181;134620
Biberen;3206;3;Ferenbalm;BE;582683;198617
Biberist;4562;0;Biberist;SO;608039;225618
Bibern SH;8242;0;Thayngen;SH;692865;291768
Bibern SO;4578;0;Bibern (SO);SO;601235;221824
Biberstein;5023;0;Biberstein;AG;648606;252273
Bichelsee;8363;0;Bichelsee-Balterswil;TG;711535;255865
Bichwil;9248;0;Oberuzwil;SG;728173;253022
Bidogno;6958;0;Capriasca;TI;721450;106121
Biel VS;3989;0;Grafschaft;VS;659195;146276
Biel-Benken BL;4105;0;Biel-Benken;BL;605926;261842
Biel/Bienne;2502;0;Biel/Bienne;BE;585451;221357
Biel/Bienne;2503;0;Biel/Bienne;BE;585849;219996
Biel/Bienne;2505;0;Biel/Bienne;BE;583319;220386
Biel/Bienne;2504;0;Biel/Bienne;BE;588203;223043
Bielersee;9999;0;Bielersee (BE);BE;578537;213278
Biembach im Emmental;3419;0;Hasle bei Burgdorf;BE;613217;204707
Bieudron (Nendaz);1996;2;Nendaz;VS;587733;115852
Biezwil;4585;0;Biezwil;SO;598680;217723
Bigenthal;3513;0;Walkringen;BE;614876;202343
Biglen;3507;0;Biglen;BE;614443;197716
Bignasco;6676;0;Cevio;TI;686847;133280
Bigorio;6954;1;Capriasca;TI;717299;103463
